Player_Name,Team,Nationality,Player_Type,Capped,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches,Run_outs,Stumps
Ravindra Jadeja ,Chennai,Indian,Allrounder,1,200,2386,27.11,128.14,127,30.05,7.61,23.68,,,
Riley Meredith ,Mumbai,Indian,Bowler ,1,5,,,,4,42.25,9.94,25.5,,,
Rinku Singh,Kolkata,Indian,Batter,1,10,77,11,101.32,,,,,,,
Ripal Patel,Delhi,Indian,Allrounder,1,2,25,25,92.59,,,7.33,,,,
Rishabh Pant ,Delhi,Indian,Keeper,1,84,2498,35.18,147.46,,,,,56,5,14
Rishi Dhawan,Punjab,Indian,Allrounder,1,26,153,21.86,113.33,18,35.56,7.87,27.11,,,
Riyan Parag,Rajasthan,Indian,Allrounder,1,30,339,16.95,118.53,3,73.67,9.97,44.33,,,
Rohit Sharma ,Mumbai,Indian,Batter,1,213,5611,31.17,130.4,15,30.2,8.02,22.6,,,
Romario Shepherd,Hyderabad,Overseas,Allrounder,0,14,117,58.5,160.27,12,32.92,11.34,17.43,,,
Rovman Powell,Delhi ,Overseas,Batter,0,36,524,22.78,133.33,,,,,,,
Ruturaj Gaikwad,Chennai,Indian,Batter,1,22,839,46.61,132.13,,,,,,,
Sai Sudharshan,Gujarat,Indian,Allrounder,0,7,177,35.4,116.4,,,,,,,
Sam Billings ,Kolkata,Overseas,Keeper,1,22,334,17.6,133.6,,,,,13,1,0
Sandeep Sharma ,Punjab,Indian,Bowler ,1,99,,,,112,25.44,7.78,19.62,,,
Sanjay Yadav,Mumbai,Indian,Allrounder,0,27,494,27.4,124.1,16,27.9,6.65,27.1,,,
Sanju Samson,Rajasthan,Indian,Keeper,1,121,3068,29.22,134.21,,,,,59,8,10
Sarfaraz Khan ,Delhi,Indian,Allrounder,1,40,441,23.21,138.21,,,,,,,
Saurabh Dubey ,Hyderabad,Indian,Bowler ,0,3,,,,0,,8,,,,
Sean Abbott,Hyderabad,Overseas,Bowler ,1,2,,,,0,,11.4,,,,
Shahbaz Ahamad,Bangalore,Indian,Allrounder,1,13,60,8.57,111.11,9,15.1,6.8,13.33,,,
Shahbaz Nadeem ,Lucknow,Indian,Bowler ,1,72,,,,48,37.17,7.56,29.48,,,
Shahrukh Khan ,Punjab,Indian,Allrounder,1,11,153,21.8,134.21,,,,,,,
Shardul Thakur ,Kokalta,Indian,Bowler ,1,61,53,6.62,112.77,67,27.87,8.89,18.81,,,
Sheldon Jackson ,Kolkata,Overseas,Keeper,1,4,38,19,122.6,,,,,2,0,0
Sherfane Rutherford,Bangalore,Overseas,Allrounder,1,7,73,14.6,135.19,1,59,8.63,41,,,
Shikhar Dhawan,Punjab,Indian,Batter,1,192,5783,34.63,126.6,4,16.5,8.25,12,,,
Shimron Hetmyer,Rajasthan,Overseas,Batter,1,31,517,25.85,151.17,,,,,,,
Shivam Dube,Chennai,Indian,Allrounder,1,24,399,22.17,120.54,4,32.5,8.3,23.5,,,
Shivam Mavi,Gujrat,Indian,Allrounder,1,26,48,6.8,97.9,25,28.6,8.3,20.68,,,
Shreyas Iyer ,Kolkata,Indian,Batter,1,87,2375,31.67,123.96,,,,,,,
Shubham Garhwal ,Rajasthan,Indian,Allrounder,2,,,,,,,,,,,
Shubman Gill,Gujarat,Indian,Batter,1,58,1417,31.49,123,,,,,,,
Siddharth Kaul ,Bangalore,Indian,Bowler ,1,54,,,,58,29.24,8.59,20.43,,,
Simarjeet Singh ,Chennai,Indian,Bowler ,0,20,,,,24,20.4,7.45,,,,
Subhranshu Senapati,Chennai,Indian,Batter,0,26,637,28.9,122.3,,,,,,,
Sunil Narine ,Kolkata,Overseas,Allrounder,1,134,954,15.64,161.69,143,24.53,6.74,21.83,,,
Suryakumar Yadav,Mumbai,Indian,Batter,1,115,2341,28.9,135.71,,,,,,,
Suyash Prabhudessai,Bangalore,Indian,Allrounder,0,22,443,31.6,148.2,2,63.5,7.47,51.1,,,
T Natarajan,Hyderabad,Indian,Bowler ,1,24,3,3,60,20,34.4,8.24,25.05,,,
Tejas Baroka ,Rajasthan,Indian,Bowler ,2,1,,,,0,,9.43,,,,
Tim David,Mumbai,Overseas,Allrounder,0,11,429,47.67,157.72,5,51,9.33,32.8,,,
Tim Seifert,Delhi,Overseas,Keeper,0,40,753,23.5,129.8,,,,,21,4,6
Tim Southee,Kolkata,Overseas,Bowler ,1,43,,,,31,44.77,8.68,30.97,,,
Trent Boult ,Rajasthan,Overseas,Bowler ,1,62,13,4.33,68.42,76,26.09,8.4,18.64,,,
Tushar Deshpande,Chennai,Indian,Bowler ,1,5,,,,3,64,11.29,34,,,
Tymal Mills ,Mumbai,Overseas,Bowler ,1,5,,,,5,30.6,8.58,21.4,,,
Umesh Yadav,Kolkata,Indian,Bowler ,1,121,,,,119,30.08,8.51,21.19,,,
Umran Malik,Hyderabad,Indian,Bowler ,2,,,,,,,,,,,
Vaibhav Arora ,Punjab,Indian,Bowler ,0,12,,,,12,25.2,6.96,,,,
Varun Aaron ,Gujarat,Indian,Bowler ,1,50,,,,42,34.02,8.89,22.95,,,
Varun Chakravarthy,Kolkata,Indian,Bowler ,1,31,12,4,63,36,23.31,6.82,20.5,,,
Venkatesh Iyer,Kolkata,Indian,Allrounder,1,10,370,41.11,128.47,3,23,8.12,17,,,
Vicky Ostwal ,Delhi,Indian,Allrounder,2,,,,,,,,,,,
Vijay Shankar,Gujarat,Indian,Allrounder,1,47,712,26.37,126.24,9,36.56,8.62,25.44,,,
Virat Kohli,Bangalore,Indian,Batter,1,207,6283,37.4,129.95,4,92,8.8,62.75,,,
Vishnu Vinod,Hyderabad,Indian,Keeper,1,3,19,6.3,73.1,,,,,0,0,2
Wanindu Hasaranga,Bangalore,Overseas,Allrounder,0,34,332,15.1,119.8,55,13.7,6.3,12.9,10,2,0
Washington Sundar,Hyderabad,Indian,Allrounder,1,42,217,14.47,111.28,27,32.11,6.94,27.78,,,
Wridhhiman Saha ,Gujarat,Indian,Keeper,1,133,2110,24.5,128.7,,,,,69,3,20
Yash Dayal,Gujarat,Indian,Bowler ,0,15,,,,15,22.1,7.21,,,,
Yash Dhull,Delhi,Indian,Allrounder,2,,,,,,,,,,,
Yashasvi Jaiswal,Rajasthan,Indian,Batter,1,13,289,22.23,136.32,,,,,,,
Yuzvendra Chahal ,Rajasthan,Indian,Bowler ,1,114,32,5.3,41.03,139,22.28,7.59,17.61,,,
